product_id,product_name,description,product_url,image_url,price,currency,brand,category,colour,size,ean,mpn,in_stock,condition
G02-006-01-S,Covo Cat Basket - Oak/Sand,"The Covo is one of those pieces that reads as furniture first and cat bed second. Its rounded shell of bent plywood rises higher at the back, so your cat settles into a hollow that feels held on three sides while the open front keeps an easy view of the room. Uta Cossmann shaped it to sit comfortably in a living space rather than get tucked out of sight. Under the wood sits a thick foam cushion cut to the curve of the shell. It gives real support for older cats and lifts off in one motion when it needs a wash. The frame is built to last for years, and a quick wipe keeps the veneer looking new. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/covo-cat-basket?variant=51504968106262,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-005-01-S_Sleep_Covo_Oak_Sand.jpg?v=1783782958,519.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Oak/Sand,,4260404424376,G02-006-01-S,1,new
G02-006-02-S,Covo Cat Basket - Walnut/Mocca,"The Covo is one of those pieces that reads as furniture first and cat bed second. Its rounded shell of bent plywood rises higher at the back, so your cat settles into a hollow that feels held on three sides while the open front keeps an easy view of the room. Uta Cossmann shaped it to sit comfortably in a living space rather than get tucked out of sight. Under the wood sits a thick foam cushion cut to the curve of the shell. It gives real support for older cats and lifts off in one motion when it needs a wash. The frame is built to last for years, and a quick wipe keeps the veneer looking new. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/covo-cat-basket?variant=51504968139030,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-005-02-S_Sleep_Covo_Walnut_Mocca.jpg?v=1783782988,519.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Walnut/Mocca,,4260404424383,G02-006-02-S,1,new
G02-006-07-S,Covo Cat Basket - Ash Black/Anthracite,"The Covo is one of those pieces that reads as furniture first and cat bed second. Its rounded shell of bent plywood rises higher at the back, so your cat settles into a hollow that feels held on three sides while the open front keeps an easy view of the room. Uta Cossmann shaped it to sit comfortably in a living space rather than get tucked out of sight. Under the wood sits a thick foam cushion cut to the curve of the shell. It gives real support for older cats and lifts off in one motion when it needs a wash. The frame is built to last for years, and a quick wipe keeps the veneer looking new. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/covo-cat-basket?variant=51504968171798,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-005-07-S_Sleep_Covo_Ash_Black_Anthracite.jpg?v=1783783015,519.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Ash Black/Anthracite,,4262487390401,G02-006-07-S,1,new
G02-008-01,Cesto Cat Basket - Concrete,"Cesto keeps things simple. It is a molded felt basket with a low, rounded wall that a cat can flop into or curl up against, and the muted colors let it sit in the open without shouting for attention. Hans Thyge and Co designed it to earn its keep even on the days your cat ignores it, since it doubles as a catch-all for toys, a folded blanket, or a stack of magazines. The felt is pressed mostly from recycled PET bottles, so there is a sustainability story under the good looks. It holds its shape well and has a texture that is soft to the touch without going floppy. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/cesto-cat-basket?variant=51504968204566,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-008-01_Sleep_Cesto_Cat_Basket_Concrete.jpg?v=1783783224,99.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Concrete,,4260602413301,G02-008-01,1,new
G02-008-03,Cesto Cat Basket - Nougat,"Cesto keeps things simple. It is a molded felt basket with a low, rounded wall that a cat can flop into or curl up against, and the muted colors let it sit in the open without shouting for attention. Hans Thyge and Co designed it to earn its keep even on the days your cat ignores it, since it doubles as a catch-all for toys, a folded blanket, or a stack of magazines. The felt is pressed mostly from recycled PET bottles, so there is a sustainability story under the good looks. It holds its shape well and has a texture that is soft to the touch without going floppy. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/cesto-cat-basket?variant=51504968237334,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-008-03_Sleep_Cesto_Cat_Basket_Nougat.jpg?v=1783783254,99.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Nougat,,4260602413875,G02-008-03,1,new
G02-008-04,Cesto Cat Basket - Black,"Cesto keeps things simple. It is a molded felt basket with a low, rounded wall that a cat can flop into or curl up against, and the muted colors let it sit in the open without shouting for attention. Hans Thyge and Co designed it to earn its keep even on the days your cat ignores it, since it doubles as a catch-all for toys, a folded blanket, or a stack of magazines. The felt is pressed mostly from recycled PET bottles, so there is a sustainability story under the good looks. It holds its shape well and has a texture that is soft to the touch without going floppy. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/cesto-cat-basket?variant=51504968270102,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-008-04_Sleep_Cesto_Cat_Basket_Black.jpg?v=1783783284,99.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Black,,4260602413882,G02-008-04,1,new
G02-008-08,Cesto Cat Basket - Grolive,"Cesto keeps things simple. It is a molded felt basket with a low, rounded wall that a cat can flop into or curl up against, and the muted colors let it sit in the open without shouting for attention. Hans Thyge and Co designed it to earn its keep even on the days your cat ignores it, since it doubles as a catch-all for toys, a folded blanket, or a stack of magazines. The felt is pressed mostly from recycled PET bottles, so there is a sustainability story under the good looks. It holds its shape well and has a texture that is soft to the touch without going floppy. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/cesto-cat-basket?variant=51504968302870,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_C13-012-08_Sleep_Cesto_Cat_Basket_Grolive.jpg?v=1783783194,99.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Grolive,,4262487391217,G02-008-08,1,new
G02-009-01,Tavolino Side Table,"Tavolino solves a small apartment problem with some wit. Up top it is a proper side table with a wooden surface for a coffee, a book, or a lamp. Underneath sits a molded felt basket where your cat can disappear for a nap, close to you but out of the traffic. Hans Thyge and Co gave both jobs equal care, so neither feels like an afterthought. The felt shell is pressed mostly from recycled PET and keeps its shape season after season. Drop in a Unica or Lana blanket and the den gets even cozier. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/tavolino-side-table?variant=51504968335638,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-009-01_Sleep_Tavolino_Side_Table_Concrete.jpg?v=1783783720,169.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture,,,4260602413325,G02-009-01,1,new
G02-010-01,Perla Cat Cave - Natural,"Belgian designer Mathias De Ferm shaped the Perla around a cat's odd mix of wants, the pull toward a hidden den and the refusal to lose sight of the room. The curved teardrop opening wraps most of the way around, so a napping cat feels tucked away while keeping a clear 360 degree view of whatever the household is up to. It is braided by hand from natural rattan and a lightfast rope that shrugs off stains and bacteria, which means it can live indoors or out on a covered porch. Inside, a high-resilience foam cushion does the comfortable part, and both the cushion and its cover come out for a wash. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/perla-cat-cave?variant=51504968368406,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-010-01_Sleep_Perla_Cat_Cave_Natural.jpg?v=1783783750,269.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Natural,,4260602413899,G02-010-01,1,new
G02-010-02,Perla Cat Cave - Anthracite,"Belgian designer Mathias De Ferm shaped the Perla around a cat's odd mix of wants, the pull toward a hidden den and the refusal to lose sight of the room. The curved teardrop opening wraps most of the way around, so a napping cat feels tucked away while keeping a clear 360 degree view of whatever the household is up to. It is braided by hand from natural rattan and a lightfast rope that shrugs off stains and bacteria, which means it can live indoors or out on a covered porch. Inside, a high-resilience foam cushion does the comfortable part, and both the cushion and its cover come out for a wash. A German design house MiaCara is a family run German label from Herzogenaurach, started by Sebastian and Barbara Zweig. It began with their Labrador, Cara, who turned her nose up at a cheap foam cushion, and grew into a full design house that launched its cat line in 2015. The credo is form follows function, innovate rather than imitate, so every piece is drawn to work first and then to sit quietly in a room. Design that earns its place The point of a MiaCara piece is that it does not read as pet gear. A feeder looks like a considered object on the floor, a bed reads as a piece of furniture, and the cat's needs are solved inside a form that a design-led home would keep anyway. Nothing is loud, nothing is disposable, and each object is meant to stay in the room for years rather than be hidden away. Made in Europe, made to last Most of the range is manufactured in Germany and the rest of Europe from hand-picked suppliers, under fair conditions and short transport routes. The materials are chosen to age well: solid and engineered woods, powder-coated and recycled aluminium, molded felt, and porcelain for the bowls. Pieces are built to be cleaned, refilled, and re-cushioned rather than replaced, and spare cushions and covers are kept in the range for exactly that reason. Recycled by default MiaCara leans on recycled materials wherever it can: felt spun from recycled PET bottles, recycled aluminium, recycled foam, and fabric made from upcycled ocean plastic through the Seaqual initiative. Packaging is FSC certified or recycled, and the workshop has run on certified green electricity since 2021. The designers, and the awards Every piece is credited to the studio or designer behind it, among them Hans Thyge and Co, Regina Mol, Studio Nooi, and the MiaCara design team. The work has been recognised with a German Design Award and a Red Dot, which is rare for cat furniture and tells you the bar it is held to.",https://www.themeowpicks.com/products/perla-cat-cave?variant=51504968401174,https://cdn.shopify.com/s/files/1/0999/4354/7158/files/MC_G02-010-02_Sleep_Perla_Cat_Cave_Anthracite.jpg?v=1783783778,319.00,USD,MiaCara,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Beds,Anthracite,,4260602413905,G02-010-02,1,new
